anno,attoid,cat,mese,metratura,posizione,prezzo,tipo,zonaOMI,garage,cantina
2021,297b245a-8f81-468a-ad90-ececad702098,A03,1,4 vani,"9.2263207, 45.444165",220000,Residenziale singolo,D18,FALSE,FALSE
2021,61584ddd-ef3b-4dab-8675-f47b80e80ad0,A03,2,4 vani,"9.2260004, 45.4441817",108000,Residenziale singolo,D18,FALSE,FALSE
2021,77fcf280-b763-40a4-9c24-d7f6d9ec8a0b,A03,2,4 vani,"9.2260004, 45.4441817",210000,Residenziale singolo,D18,FALSE,FALSE
2021,bc343796-7f4b-4dbe-93e0-a31f94ae15eb,A03,2,3.5 vani,"9.2257667, 45.4427826",180000,Residenziale singolo,D18,FALSE,FALSE
2021,fd57b65b-5376-4e9a-a389-19f1fe53611f,A02,3,3 vani,"9.2262873, 45.4435531",300000,Residenziale singolo,D18,FALSE,FALSE
2021,fc3284b7-8ec0-49d9-a4c5-1ec97770a1da,A03,4,69 mq,"9.22664959750515929032362090470275221175, 45.4435881533118004796235506758575330854",270000,Residenziale singolo,D18,FALSE,FALSE
2021,6ae12841-9b2f-40cc-809a-be912136ab4d,A03,5,58 mq,"9.22635555051021025410613152146691707851, 45.4441264139919800083492471361005978119",192500,Residenziale singolo,D18,FALSE,FALSE
2021,9578b501-1cb8-4461-a47e-e86ed025169b,A03,5,71 mq,"9.2267259, 45.4435786",62100,Residenziale singolo,D18,FALSE,FALSE
2021,55b64816-badd-4364-a957-178d07ef9d86,A03,6,65 mq,"9.2248979, 45.4439398",230000,Residenziale singolo,D18,FALSE,['12 mq']
2021,2141f9c3-8b0d-4476-b1c5-e42ccb85232f,A03,6,75 mq,"9.2254601, 45.4428302",300000,Residenziale singolo,D18,['25 mq'],FALSE
2021,2f33af09-2373-40c9-8a1a-2005d891ddbb,A03,6,84 mq,"9.2253777, 45.4408266",260000,Residenziale singolo,D18,FALSE,FALSE
2021,ed86ab99-803e-4877-a189-723fca0cdf12,A03,7,62 mq,"9.2262873, 45.4435531",200000,Residenziale singolo,D18,FALSE,FALSE
2021,af3cdcba-6121-4990-8775-3b70ec1b9d7a,A03,7,39 mq,"9.22530655827866227015995730587259212671, 45.4408777674561070715570798227770017181",142500,Residenziale singolo,D18,FALSE,FALSE
